Season,Date,DAP,Rain,Tmax,Tmin,Tmean,cum_GDD,IRRAD,Cumulative_Radiation
2025,2025-06-24,48,0,21.794,13.039,17.6700784722222,673.358248611111,13.25393478,1062.33304938
2025,2025-06-25,49,0,26.046,16.634,21.0496020833333,692.407850694444,24.45349662,1086.786546
2025,2025-06-26,50,4.30999999999999,23.194,16.85,20.1042479166666,710.512098611111,13.7797767,1100.5663227
2025,2025-06-27,51,2.31,23.117,13.935,18.3227222222222,726.834820833333,17.02254858,1117.58887128
2025,2025-06-28,52,0,25.682,17.792,21.49609375,746.330914583333,18.2146719,1135.80354318
2025,2025-06-29,53,0,27.83,16.501,22.1204034722222,766.451318055556,25.68099858,1161.48454176
2025,2025-06-30,54,0,30.309,13.974,23.0370277777778,787.488345833333,30.20172822,1191.68626998
2025,2025-07-01,55,0,35.887,15.226,26.6615527777779,812.149898611111,29.50891224,1221.19518222
2025,2025-07-02,56,3,34.108,15.107,23.8090979166667,833.958996527778,25.59310446,1246.78828668
2025,2025-07-03,57,0,22.421,9.776,17.2339354166667,849.192931944445,27.34619868,1274.13448536
2025,2025-07-04,58,0,24.778,7.277,17.7588305555555,864.9517625,29.33716578,1303.47165114
2025,2025-07-05,59,0.61,21.995,14.004,18.3268069444444,881.278569444445,12.2171655,1315.68881664
2025,2025-07-06,60,13.6,19.474,15.558,17.2912694444445,896.569838888889,7.36188138,1323.05069802
2025,2025-07-07,61,0.13,19.79,11.322,15.8321458333333,910.401984722222,15.28527618,1338.3359742
2025,2025-07-08,62,0,19.846,9.839,15.2379013888889,923.639886111111,16.79290794,1355.12888214
2025,2025-07-09,63,0,23.229,10.424,17.0584625,938.698348611111,22.68270174,1377.81158388
2025,2025-07-10,64,0,24.02,10.212,17.9076430555556,954.605991666667,22.71940662,1400.5309905
2025,2025-07-11,65,0,24.609,11.972,18.5458430555555,971.151834722222,24.49695288,1425.02794338
2025,2025-07-12,66,0,26.552,13.24,20.2724208333333,989.424255555556,27.2079792,1452.23592258
2025,2025-07-13,67,0,25.54,15.624,19.8291819444444,1007.2534375,15.62145612,1467.8573787
2025,2025-07-14,68,0,25.796,14.009,20.3720729166667,1025.62551041667,20.24977302,1488.10715172
2025,2025-07-15,69,1.96,22.805,14.847,18.4274486111111,1042.05295902778,17.81824506,1505.92539678
2025,2025-07-16,70,6.90999999999999,20.882,14.098,17.3472381944445,1057.40019722222,19.62823902,1525.5536358
2025,2025-07-17,71,0.03,23.677,10.074,18.0900590277778,1073.49025625,19.37338068,1544.92701648
2025,2025-07-18,72,0,27.535,10.304,19.9736409722222,1091.46389722222,23.84802684,1568.77504332
2025,2025-07-19,73,0.16,30.206,15.942,23.5660819444445,1113.02997916667,21.09492864,1589.86997196
2025,2025-07-20,74,1.62,27.38,15.331,20.5668083333333,1131.5967875,15.00490632,1604.87487828
2025,2025-07-21,75,3.85,24.933,13.818,18.7024222222222,1148.29920972222,19.49312376,1624.36800204
2025,2025-07-22,76,0.16,23.679,16.279,19.0482527777778,1165.3474625,16.3179576,1640.68595964
2025,2025-07-23,77,7.63,21.649,14.667,18.2980590277778,1181.64552152778,8.48582754,1649.17178718
2025,2025-07-24,78,0,23.995,11.257,18.1665277777778,1197.81204930556,19.19300586,1668.36479304
2025,2025-07-25,79,3.81,21.901,11.717,17.7814298611111,1213.59347916667,11.23072974,1679.59552278
2025,2025-07-26,80,0,25.657,11.298,19.1149194444445,1230.70839861111,17.64367434,1697.23919712
2025,2025-07-27,81,0.33,21.248,13.951,17.4059868055556,1246.11438541667,11.63880594,1708.87800306
2025,2025-07-28,82,4.35,20.809,12.05,16.1733215277778,1260.28770694444,13.68541734,1722.5634204
2025,2025-07-29,83,0.09,21.893,12.945,17.3795458333334,1275.66725277778,17.35527516,1739.91869556
2025,2025-07-30,84,0.6,22.269,9.953,16.9450944444445,1290.61234722222,20.34262614,1760.2613217
2025,2025-07-31,85,1.66,22.91,13.567,18.0806958333333,1306.69304305556,12.92359302,1773.18491472
2025,2025-08-01,86,7.57,20.657,13.541,16.6504,1321.34344305556,16.81184412,1789.99675884
2025,2025-08-02,87,6.40999999999999,20.291,14.178,16.2084180555556,1335.55186111111,11.62445814,1801.62121698
2025,2025-08-03,88,3.38,22.819,14.551,18.4313777777778,1351.98323888889,19.98955686,1821.61077384
2025,2025-08-04,89,5.86999999999999,24.348,15.623,20.1089527777778,1370.09219166667,15.0135915,1836.62436534
2025,2025-08-05,90,2.52,20.455,11.348,16.3154833333333,1384.407675,21.32318934,1857.94755468
2025,2025-08-06,91,0.11,21.503,11.3,16.6004819444445,1399.00815694444,21.54119502,1879.4887497
2025,2025-08-07,92,0,24.284,12.895,18.5372944444444,1415.54545138889,17.6982168,1897.1869665
2025,2025-08-08,93,0,23.947,11.88,19.1342805555556,1432.67973194444,16.8230409,1914.0100074
2025,2025-08-09,94,0,24.319,9.421,16.8724319444445,1447.55216388889,24.79435896,1938.80436636
2025,2025-08-10,95,0.11,24.775,10.625,17.69214375,1463.24430763889,21.51504456,1960.31941092
2025,2025-08-11,96,0,29.141,10.396,20.5430472222222,1481.78735486111,24.74178018,1985.0611911
2025,2025-08-12,97,0,31.594,12.446,22.9300611111111,1502.71741597222,21.6780345,2006.7392256
2025,2025-08-13,98,0.03,32.499,14.797,23.7337027777778,1524.45111875,21.20160918,2027.94083478
2025,2025-08-14,99,0.06,31.384,16.283,23.2043479166667,1545.65546666667,16.24928622,2044.190121
2025,2025-08-15,100,0.18,27.955,12.27,20.7441930555556,1564.39965972222,19.5861606,2063.7762816
2025,2025-08-16,101,0,20.749,10.105,17.4501569444444,1579.84981666667,10.03829442,2073.81457602
2025,2025-08-17,102,0.15,20.615,7.413,14.9387270833333,1592.78854375,9.930024,2083.74460002
2025,2025-08-18,103,0,26.144,13.584,19.7305159722222,1610.51905972222,19.80859788,2103.5531979
2025,2025-08-19,104,0,28.206,12.611,19.8748909722222,1628.39395069444,23.04399132,2126.59718922
2025,2025-08-20,105,0.19,24.572,11.167,18.0002909722222,1644.39424166667,20.29014222,2146.88733144
2025,2025-08-21,106,0.03,22.207,9.904,15.5862881944444,1657.98052986111,21.27923346,2168.1665649
2025,2025-08-22,107,0,17.763,13.054,15.1277923611111,1671.10832222222,8.12090964,2176.28747454
2025,2025-08-23,108,1.6,19.533,6.669,14.2859993055556,1683.39432152778,14.58763992,2190.87511446
2025,2025-08-24,109,0.1,20.989,3.758,12.7204090277778,1694.11473055556,18.59933292,2209.47444738
2025,2025-08-25,110,0.08,23.437,4.574,14.6222868055556,1706.73701736111,20.62810614,2230.10255352
2025,2025-08-26,111,0,27.201,7.228,18.4599229166666,1723.19694027778,15.81754164,2245.92009516
2025,2025-08-27,112,0,25.599,13.44,19.4907765151515,1740.68771679293,19.01114556,2264.93124072
